chr	labels	FRI	GNM	std(fri)	std(gnm)	prediction
chr8	0	0.435618	1e-06	-0.984767	-0.297746	0.020096391
chr16	0	0.314987	1e-06	-1.703748	-0.387933	0.0017752349
chr16	0	0.499932	2e-06	-0.37782	-0.363549	0.28378582
chr7	0	0.406791	1e-06	-1.348781	-0.334154	0.030377954
chr10	0	0.405212	2e-06	-0.962502	-0.307205	0.016159296
chr11	0	0.367965	1e-06	-1.33597	-0.360989	0.075700074
chr1	0	0.484842	1e-06	-0.751945	-0.485546	0.061675787
chr6	0	0.512282	2e-06	-0.430832	-0.298252	0.4394068
chr10	0	0.431957	1e-06	-0.719098	-0.350029	0.030095011
chr14	0	0.342572	1e-06	-1.409423	-0.417507	0.002538681
chr20	0	0.384914	2e-06	-0.757326	-0.444505	0.0037845373
chr7	0	0.375996	1e-06	-1.573624	-0.334154	0.015363514
chr7	0	0.412956	1e-06	-1.303769	-0.334154	0.007916927
chr14	0	0.361905	1e-06	-1.291573	-0.417507	0.0021795928
chr3	0	0.286273	1e-06	-2.119517	-0.245352	0.054405183
chr5	0	0.479589	1e-06	-0.824742	-0.289197	0.022375643
chr3	0	0.399443	1e-06	-1.172359	-0.245352	0.003699094
chr1	0	0.447229	1e-06	-1.019888	-0.485546	0.012931973
chrX	0	0.606253	2e-06	-0.838152	-0.232933	0.15595227
chr14	0	0.505556	2e-06	-0.415899	-0.389401	0.011366636
chr9	0	0.3993	1e-06	-1.621089	-0.337721	0.0023237467
chrX	0	0.686491	1e-06	-0.148348	-0.25951	0.6749108
chr12	0	0.512854	5e-06	-0.089385	-0.249112	0.07834101
chr8	0	0.491501	1e-06	-0.552016	-0.297746	0.75230813
chr1	0	0.356338	1e-06	-1.667369	-0.485546	0.003425032
chrX	0	0.55538	1e-06	-1.275505	-0.25951	0.0025132895
chr1	0	0.440154	1e-06	-1.070289	-0.485546	0.0016385019
chr1	0	0.392195	1e-06	-1.411934	-0.485546	0.54530543
chr6	0	0.381807	1e-06	-1.424183	-0.335257	0.0038820505
chr3	0	0.400623	1e-06	-1.162483	-0.245352	0.013677806
chr6	0	0.419595	1e-06	-1.13649	-0.335257	0.030482113
chr7	0	0.423604	1e-06	-1.226025	-0.334154	0.3602665
chr8	0	0.462025	1e-06	-0.780274	-0.297746	0.040100187
chr21	0	0.6304	1e-06	-0.917308	-0.348593	0.017329216
chr4	0	0.606891	1e-06	-0.727994	-0.217578	0.018961549
chr3	0	0.51598	1e-06	-0.197021	-0.245352	0.018702626
chr10	0	0.361569	1e-06	-1.359694	-0.350029	0.006075144
chr10	0	0.340632	1e-06	-1.55024	-0.350029	0.019753069
chr2	0	0.38522	1e-06	-1.342863	-0.40252	0.18575275
chrX	0	0.780493	6e-06	0.659784	-0.126621	0.16472238
chr7	0	0.473879	2e-06	-0.858953	-0.294247	0.049651563
chrX	0	0.642216	1e-06	-0.528979	-0.25951	0.012642145
chr2	0	0.422504	1e-06	-1.011344	-0.40252	0.0072334707
