chr	labels	FRI	GNM	std(fri)	std(gnm)	prediction
chr8	0	0.435618	1e-06	-0.984767	-0.297746	0.05436787
chr16	0	0.314987	1e-06	-1.703748	-0.387933	0.0037361085
chr16	0	0.499932	2e-06	-0.37782	-0.363549	0.23155999
chr7	0	0.406791	1e-06	-1.348781	-0.334154	0.028495401
chr10	0	0.405212	2e-06	-0.962502	-0.307205	0.0059726536
chr11	0	0.367965	1e-06	-1.33597	-0.360989	0.05419746
chr1	0	0.484842	1e-06	-0.751945	-0.485546	0.010230511
chr6	0	0.512282	2e-06	-0.430832	-0.298252	0.16065401
chr10	0	0.431957	1e-06	-0.719098	-0.350029	0.06695509
chr14	0	0.342572	1e-06	-1.409423	-0.417507	0.0028104186
chr20	0	0.384914	2e-06	-0.757326	-0.444505	0.04027924
chr7	0	0.375996	1e-06	-1.573624	-0.334154	0.013583124
chr7	0	0.412956	1e-06	-1.303769	-0.334154	0.006679952
chr14	0	0.361905	1e-06	-1.291573	-0.417507	0.0030055344
chr3	0	0.286273	1e-06	-2.119517	-0.245352	0.06628722
chr5	0	0.479589	1e-06	-0.824742	-0.289197	0.011134505
chr3	0	0.399443	1e-06	-1.172359	-0.245352	0.010945708
chr1	0	0.447229	1e-06	-1.019888	-0.485546	0.0011702478
chrX	0	0.606253	2e-06	-0.838152	-0.232933	0.2687931
chr14	0	0.505556	2e-06	-0.415899	-0.389401	0.002751112
chr9	0	0.3993	1e-06	-1.621089	-0.337721	0.00025877357
chrX	0	0.686491	1e-06	-0.148348	-0.25951	0.19548288
chr12	0	0.512854	5e-06	-0.089385	-0.249112	0.06654495
chr8	0	0.491501	1e-06	-0.552016	-0.297746	0.13115206
chr1	0	0.356338	1e-06	-1.667369	-0.485546	0.00072804093
chrX	0	0.55538	1e-06	-1.275505	-0.25951	0.013079554
chr1	0	0.440154	1e-06	-1.070289	-0.485546	0.00056505203
chr1	0	0.392195	1e-06	-1.411934	-0.485546	0.718482
chr6	0	0.381807	1e-06	-1.424183	-0.335257	0.0002438426
chr3	0	0.400623	1e-06	-1.162483	-0.245352	0.002239287
chr6	0	0.419595	1e-06	-1.13649	-0.335257	0.1249792
chr7	0	0.423604	1e-06	-1.226025	-0.334154	0.015018851
chr8	0	0.462025	1e-06	-0.780274	-0.297746	0.0074748397
chr21	0	0.6304	1e-06	-0.917308	-0.348593	0.0040439367
chr4	0	0.606891	1e-06	-0.727994	-0.217578	0.0057322383
chr3	0	0.51598	1e-06	-0.197021	-0.245352	0.032939047
chr10	0	0.361569	1e-06	-1.359694	-0.350029	0.01302737
chr10	0	0.340632	1e-06	-1.55024	-0.350029	0.25861496
chr2	0	0.38522	1e-06	-1.342863	-0.40252	0.23175803
chrX	0	0.780493	6e-06	0.659784	-0.126621	0.2922896
chr7	0	0.473879	2e-06	-0.858953	-0.294247	0.031930298
chrX	0	0.642216	1e-06	-0.528979	-0.25951	0.05484861
chr2	0	0.422504	1e-06	-1.011344	-0.40252	0.016363442
chr1	0	0.427014	1e-06	-1.163894	-0.485546	0.29919255
chr1	0	0.522673	2e-06	-0.482448	-0.40969	0.6472605
chr9	0	0.441463	1e-06	-1.429062	-0.337721	0.0019385815
chr4	0	0.551001	1e-06	-1.066383	-0.217578	0.0046645403
chr17	0	0.321559	2e-06	-1.231231	-0.597282	0.30913436
chr17	0	0.241971	1e-06	-2.002526	-0.649844	0.005924046
chrX	0	0.562813	2e-06	-1.211604	-0.232933	0.00046148896
chr3	0	0.482269	1e-06	-0.47916	-0.245352	0.11516288
chr13	0	0.42162	1e-06	-1.386998	-0.341006	0.00032138824
chr5	0	0.452014	1e-06	-1.036406	-0.289197	0.015884608
chr4	0	0.508172	1e-06	-1.325693	-0.217578	0.011018068
chr2	0	0.377845	1e-06	-1.408439	-0.40252	0.08240831
chr4	0	0.601925	1e-06	-0.758061	-0.217578	0.055267096
chr2	0	0.450247	2e-06	-0.764661	-0.325466	0.0010047555
chr16	0	0.374202	1e-06	-1.279217	-0.387933	0.20511913
chr13	0	0.495352	1e-06	-0.954981	-0.341006	2.5331974e-05
chr1	0	0.395774	1e-06	-1.386438	-0.485546	0.0003272295
chr1	0	0.362092	1e-06	-1.626379	-0.485546	0.09546825
chr12	0	0.400775	1e-06	-0.933108	-0.442332	0.03987354
chr2	0	0.442769	1e-06	-0.831153	-0.40252	0.013051748
chr8	0	0.419556	1e-06	-1.109149	-0.297746	0.00033387542
chr3	0	0.302892	1e-06	-1.980427	-0.245352	0.07857567
chrX	0	0.577928	3e-06	-1.081661	-0.206355	0.0918116
chr2	0	0.496951	3e-06	-0.349383	-0.248412	0.014108449
chr4	0	0.58596	2e-06	-0.854722	-0.193043	0.00069254637
chr8	0	0.388141	1e-06	-1.352422	-0.297746	0.007659942
chrX	0	0.55238	1e-06	-1.301296	-0.25951	0.8997258
chr1	0	0.344878	1e-06	-1.749006	-0.485546	0.034819692
chr8	0	0.445605	1e-06	-0.907429	-0.297746	0.0026919246
chr5	0	0.44468	1e-06	-1.092701	-0.289197	0.0005237758
chr4	0	0.475543	1e-06	-1.523247	-0.217578	0.00046363473
chr16	0	0.413234	2e-06	-0.999385	-0.363549	0.2566864
chr5	0	0.431223	1e-06	-1.195996	-0.289197	0.00052052736
chr6	0	0.516492	2e-06	-0.398779	-0.298252	0.03035143
chrX	0	0.614399	2e-06	-0.768121	-0.232933	0.0010018051
chr3	0	0.416595	1e-06	-1.028808	-0.245352	0.0067919493
chr8	0	0.370425	1e-06	-1.489612	-0.297746	0.048713654
chr9	0	0.599588	1e-06	-0.708897	-0.337721	0.43488887
chrX	0	0.59483	1e-06	-0.936355	-0.25951	0.038708895
chr1	0	0.375066	2e-06	-1.533956	-0.40969	0.0107859075
chr1	0	0.372825	1e-06	-1.54992	-0.485546	0.00029221177
chr4	0	0.54377	1e-06	-1.110163	-0.217578	0.0005083978
chr4	0	0.56065	2e-06	-1.007963	-0.193043	0.000101715326
chr2	0	0.442256	1e-06	-0.835715	-0.40252	0.073278695
chr5	0	0.473031	1e-06	-0.875081	-0.289197	0.03830865
chr4	0	0.592027	2e-06	-0.817989	-0.193043	0.015538573
