chr	fri_roc	gnm_roc	gsa_roc
chr1	0.998104	0.995650	0.962471
chr2	0.992764	0.980956	0.894561
chr3	0.999291	0.999114	0.974421
chr4	0.997658	0.999916	0.968053
chr5	0.999313	0.984349	0.980684
chr6	0.987654	0.973906	0.939955
chr7	0.995604	0.991818	0.971179
chr8	0.995505	0.997394	0.950951
chr9	0.993056	0.979853	0.958414
chr10	0.996975	0.976637	0.949520
chr11	0.966322	0.957957	0.930332
chr12	0.989134	0.982131	0.955772
chr13	0.991966	0.973736	0.925844
chr14	0.997692	0.999829	0.977863
chr15	0.997620	0.991671	0.974352
chr16	0.996451	0.996451	0.981252
chr17	0.998654	0.997981	0.982506
chr18	0.991104	0.980638	0.946102
chr19	1.000000	1.000000	0.997271
chr20	0.981567	0.983295	0.938652
chr21	0.987963	0.992824	0.987963
chr22	1.000000	1.000000	0.925000
chrX	0.991439	0.964522	0.927665
